"","x"
"1264","love"
"1265","killed"
"1266","hypocritical"
"1267","wrong"
"1268","drunk"
"1269","apologized"
"1270","denied"
"1271","accusations"
"1272","destroyed"
"1273","violate"
"1274","apologized"
"1275","honest"
"1276","matter"
"1277","drunk"
"1278","rapist"
"1279","yeah"
"1280","love"
"1281","wrong"
"1282","ass"
"1283","rob"
"1284","horrible"
"1285","agree"
"1286","idiot"
"1287","mistake"
"1288","disgusting"
"1289","vile"
"1290","sick"
"1291","tits"
"1292","scandal"
"1293","hopes"
"1294","excited"
"1295","sentence"
"1296","protest"
"1297","love"
"1298","hope"
"1299","love"
"1300","disgusted"
"1301","hope"
"1302","damn"
"1303","loved"
"1304","goodness"
"1305","accusation"
"1306","unwanted"
"1307","matter"
"1308","accusations"
"1309","violent"
"1310","apologizes"
"1311","abuse"
"1312","loved"
"1313","dick"
"1314","admired"
"1315","care"
"1316","disgusting"
"1317","likes"
"1318","likes"
"1319","rapist"
"1320","love"
"1321","funny"
"1322","shame"
"1323","horrible"
"1324","likes"
"1325","likes"
"1326","scumbag"
"1327","ignore"
"1328","sick"
"1329","sick"
"1330","sick"
"1331","contempt"
"1332","lol"
"1333","fail"
"1334","fake"
"1335","bad"
"1336","happy"
"1337","angry"
"1338","damn"
"1339","pathetic"
"1340","god"
"1341","damn"
"1342","rapist"
"1343","favorite"
"1344","sick"
"1345","falling"
"1346","stop"
"1347","stupid"
"1348","share"
"1349","brave"
"1350","brilliant"
"1351","beautiful"
"1352","stop"
"1353","disgusting"
"1354","outstanding"
"1355","sick"
"1356","bastard"
"1357","bad"
"1358","sad"
"1359","active"
"1360","matters"
"1361","sexy"
"1362","ugly"
"1363","heartbroken"
"1364","shocked"
"1365","support"
"1366","rapist"
"1367","praised"
"1368","tired"
"1369","fuck"
"1370","supports"
"1371","inspire"
"1372","inspiration"
"1373","hero"
"1374","god"
"1375","protects"
"1376","faith"
"1377","pray"
"1378","matter"
"1379","entertaining"
"1380","shit"
"1381","hell"
"1382","wrong"
"1383","ill"
"1384","cool"
"1385","blocked"
"1386","blocking"
"1387","hoping"
"1388","blocks"
"1389","lol"
"1390","love"
"1391","vindicated"
"1392","dirt"
"1393","enjoy"
"1394","care"
"1395","fan"
"1396","humor"
"1397","irony"
"1398","favorite"
"1399","strong"
"1400","fuck"
"1401","shit"
"1402","laugh"
"1403","spirit"
"1404","tired"
"1405","amazing"
"1406","haha"
"1407","doubt"
"1408","cool"
"1409","generous"
"1410","prison"
"1411","god"
"1412","dissatisfied"
"1413","cares"
"1414","powerful"
"1415","lost"
"1416","matter"
"1417","wrong"
"1418","leave"
"1419","cares"
"1420","legal"
"1421","curious"
"1422","shit"
"1423","fucking"
"1424","dumb"
"1425","admit"
"1426","fraud"
"1427","doubted"
"1428","fuck"
"1429","joke"
"1430","lol"
"1431","jesus"
"1432","true"
"1433","love"
"1434","funny"
"1435","sad"
"1436","disgrace"
"1437","gross"
"1438","insane"
"1439","successful"
"1440","pissed"
"1441","hahaha"
"1442","hahaha"
"1443","suspects"
"1444","crazy"
"1445","love"
